Video Title: The Biggest Misconception In Physics
Video URL: https://youtu.be/lcjdwSY2AzM
Downloaded: 2025-04-22 08:09:05

💬 Fetching comments and replies (up to 20000)...
📄 Fetching page 1...
📄 Fetching page 2...
📄 Fetching page 3...
📄 Fetching page 4...
📄 Fetching page 5...
📄 Fetching page 6...
📄 Fetching page 7...
📄 Fetching page 8...
📄 Fetching page 9...
📄 Fetching page 10...
📄 Fetching page 11...
📄 Fetching page 12...
📄 Fetching page 13...
📄 Fetching page 14...
📄 Fetching page 15...
📄 Fetching page 16...
📄 Fetching page 17...
📄 Fetching page 18...
📄 Fetching page 19...
📄 Fetching page 20...
📄 Fetching page 21...
📄 Fetching page 22...
📄 Fetching page 23...
📄 Fetching page 24...
📄 Fetching page 25...
📄 Fetching page 26...
📄 Fetching page 27...
📄 Fetching page 28...
📄 Fetching page 29...
📄 Fetching page 30...
📄 Fetching page 31...
📄 Fetching page 32...
📄 Fetching page 33...
📄 Fetching page 34...
📄 Fetching page 35...
📄 Fetching page 36...
📄 Fetching page 37...
📄 Fetching page 38...
📄 Fetching page 39...
📄 Fetching page 40...
📄 Fetching page 41...
📄 Fetching page 42...
📄 Fetching page 43...
📄 Fetching page 44...
📄 Fetching page 45...
📄 Fetching page 46...
📄 Fetching page 47...
📄 Fetching page 48...
📄 Fetching page 49...
📄 Fetching page 50...
📄 Fetching page 51...
📄 Fetching page 52...
📄 Fetching page 53...
📄 Fetching page 54...
📄 Fetching page 55...
📄 Fetching page 56...
📄 Fetching page 57...
📄 Fetching page 58...
📄 Fetching page 59...
📄 Fetching page 60...
📄 Fetching page 61...
📄 Fetching page 62...
📄 Fetching page 63...
📄 Fetching page 64...
📄 Fetching page 65...
📄 Fetching page 66...
📄 Fetching page 67...
📄 Fetching page 68...
📄 Fetching page 69...
📄 Fetching page 70...
📄 Fetching page 71...
📄 Fetching page 72...
📄 Fetching page 73...
📄 Fetching page 74...
📄 Fetching page 75...
📄 Fetching page 76...
📄 Fetching page 77...
📄 Fetching page 78...
📄 Fetching page 79...
📄 Fetching page 80...
✅ Saved 9596 comments to file.

Author,Comment,Likes,Type
@veritasium,Want to see how historical animations like the ones in this video were made? Head over and sign up to our Patreon for exclusive behind the scenes footage from our previous video about the axiom of choice  - https://www.patreon.com/c/veritasium,1850,Top Level
@𱁬,"Don't translate😡
تۆ نەفرەتت لێ کراوە
کەناڵەکەم
ئەگەر ناوت تۆمار نەکەیت لە ماوەی ٣ ڕۆژدا دەمری

やまち",14,Reply
@SwissooI,Hi,4,Reply
@44yash60,nice video vertasium...,5,Reply
@Leeisateam,No thanks,10,Reply
@NU_Official01,"Don’t translate.
Dago saaqootah addat, ku sorkocô baxi atka soolele. dubuh yan giti tet kalaloonuh yi chaanaal sabiskiraayib abaanama.",4,Reply
